Subject,Hem,Harm,Cond,Area,LinPwr,dBPwr
r1532,1-lh,1-Fm,1-Uni,1-AntTem,4.31E+15,156.3464854
r1532,1-lh,1-Fm,1-Uni,2-PosTem,2.89E+15,154.6139347
r1532,1-lh,1-Fm,1-Uni,3-Occ,2.97E+18,184.7342857
r1532,1-lh,1-Fm,2-Zero,1-AntTem,4.37E+16,166.4075961
r1532,1-lh,1-Fm,2-Zero,2-PosTem,2.06E+17,173.1441501
r1532,1-lh,1-Fm,2-Zero,3-Occ,1.61E+18,182.0758051
r1532,1-lh,1-Fm,3-HalfPi,1-AntTem,3.01E+16,164.7859535
r1532,1-lh,1-Fm,3-HalfPi,2-PosTem,7.46E+16,168.7259909
r1532,1-lh,1-Fm,3-HalfPi,3-Occ,1.25E+18,180.9725731
r1532,1-lh,1-Fm,4-Pi,1-AntTem,8.73E+16,169.4108388
r1532,1-lh,1-Fm,4-Pi,2-PosTem,2.26E+17,173.5502986
r1532,1-lh,1-Fm,4-Pi,3-Occ,7.52E+17,178.7608499
r1532,1-lh,2-SecondHarm,1-Uni,1-AntTem,1.59E+15,152.0128785
r1532,1-lh,2-SecondHarm,1-Uni,2-PosTem,6.68E+15,158.2477646
r1532,1-lh,2-SecondHarm,1-Uni,3-Occ,1.84E+16,162.6571381
r1532,1-lh,2-SecondHarm,2-Zero,1-AntTem,1.71E+15,152.3363058
r1532,1-lh,2-SecondHarm,2-Zero,2-PosTem,4.88E+16,166.8874898
r1532,1-lh,2-SecondHarm,2-Zero,3-Occ,5.05E+16,167.030247
r1532,1-lh,2-SecondHarm,3-HalfPi,1-AntTem,5.88E+15,157.6932562
r1532,1-lh,2-SecondHarm,3-HalfPi,2-PosTem,8.76E+15,159.4230575
r1532,1-lh,2-SecondHarm,3-HalfPi,3-Occ,9.32E+16,169.6949978
r1532,1-lh,2-SecondHarm,4-Pi,1-AntTem,2.49E+15,153.9663517
r1532,1-lh,2-SecondHarm,4-Pi,2-PosTem,2.30E+16,163.6189774
r1532,1-lh,2-SecondHarm,4-Pi,3-Occ,5.28E+16,167.2275728
r1532,2-rh,1-Fm,1-Uni,1-AntTem,3.53E+16,165.4789772
r1532,2-rh,1-Fm,1-Uni,2-PosTem,6.36E+15,158.0337517
r1532,2-rh,1-Fm,1-Uni,3-Occ,5.45E+17,177.366116
r1532,2-rh,1-Fm,2-Zero,1-AntTem,4.00E+15,156.0217941
r1532,2-rh,1-Fm,2-Zero,2-PosTem,4.80E+16,166.8162108
r1532,2-rh,1-Fm,2-Zero,3-Occ,2.32E+17,173.6488854
r1532,2-rh,1-Fm,3-HalfPi,1-AntTem,3.65E+15,155.6180475
r1532,2-rh,1-Fm,3-HalfPi,2-PosTem,1.11E+17,170.4559677
r1532,2-rh,1-Fm,3-HalfPi,3-Occ,2.22E+17,173.4672451
r1532,2-rh,1-Fm,4-Pi,1-AntTem,2.85E+16,164.5446373
r1532,2-rh,1-Fm,4-Pi,2-PosTem,3.19E+17,175.0384514
r1532,2-rh,1-Fm,4-Pi,3-Occ,3.61E+17,175.5714614
r1532,2-rh,2-SecondHarm,1-Uni,1-AntTem,1.40E+15,151.4650013
r1532,2-rh,2-SecondHarm,1-Uni,2-PosTem,1.37E+16,161.3811315
r1532,2-rh,2-SecondHarm,1-Uni,3-Occ,1.11E+16,160.4587039
r1532,2-rh,2-SecondHarm,2-Zero,1-AntTem,5.54E+15,157.4328237
r1532,2-rh,2-SecondHarm,2-Zero,2-PosTem,1.50E+16,161.7536683
