SubjectAssgn,GenID,ExpAssgn,Vowel,Item,ItemType,RespNum,RespNum2,absRT,logAbsRT
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,684.71,2.835506671
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,707.26,2.849579097
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,443.42,2.646815278
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,561.19,2.749109924
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,534.67,2.728085817
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,514.24,2.711165855
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,703.22,2.847091214
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,380.2,2.580012113
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,511.74,2.709049365
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,441.72,2.645147063
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,625.95,2.796539644
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,425.32,2.628715805
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,663.41,2.821782014
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,619.18,2.79181692
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,871.02,2.940028127
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,498.74,2.697874201
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,398.55,2.600482813
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,423.68,2.627037963
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,1023.48,3.01007936
a-i-subject-1,Subject1,a-i,a,a-2-2,same,1,100,613.89,2.788090559
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,0,0,620.15,2.792496748
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,0,0,696.54,2.842946062
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,0,0,469.28,2.671432046
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,0,0,627.7,2.797752129
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,0,0,1529.42,3.184526765
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,0,0,475.55,2.677196186
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,1,100,887.6,2.948217294
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,1,100,605.57,2.782164352
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,0,0,1297.39,3.113070546
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,0,0,402.47,2.604733514
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,0,0,320.47,2.50578738
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,1,100,975.82,2.989369715
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,0,0,915.67,2.961738986
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,0,0,1037.35,3.015925311
a-i-subject-1,Subject1,a-i,a,a-23-2,diff,1,100,642.05,2.80756885
